Date,Category,Description,Amount
"04/12/2025","Supplies","Bedding and straw",22.00
"05/10/2025","Supplies","Bedding refresh",20.00
"06/08/2025","Maintenance","Coop repairs",35.00
"07/06/2025","Supplies","Waterers and feeders",28.00
"08/03/2025","Supplies","Bedding",21.00
"09/07/2025","Maintenance","Fence repair",40.00
"10/05/2025","Supplies","Bedding",22.50
"11/09/2025","Health","Dewormer",18.00
"12/07/2025","Supplies","Winter bedding",25.00
"01/11/2026","Health","Vitamins",19.00
"02/08/2026","Maintenance","Coop sealing",32.00
"03/07/2026","Supplies","Bedding",21.50
"04/06/2026","Supplies","Bedding refresh",23.00
